Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      Egz.      
VardasNr5915        PavardeNr5915       1         4         2         5         4         1         3         4         6         8         3         3         1         9         1         8         4         2         
VardasNr5916        PavardeNr5916       5         4         1         2         3         3         8         4         2         5         1         1         5         4         6         4         5         2         
VardasNr5917        PavardeNr5917       3         5         3         6         9         10        10        4         9         10        8         8         7         9         9         3         3         9         
VardasNr5918        PavardeNr5918       5         5         7         9         5         6         1         6         6         8         2         6         1         8         2         5         6         9         
VardasNr5919        PavardeNr5919       2         3         4         1         10        7         3         5         4         8         1         6         2         4         10        3         2         3         
VardasNr5920        PavardeNr5920       10        8         3         8         9         1         6         2         4         8         9         7         2         5         10        1         1         7         
VardasNr5921        PavardeNr5921       10        5         1         10        9         8         1         7         6         1         3         2         8         7         8         2         2         5         
VardasNr5922        PavardeNr5922       3         4         7         1         7         7         1         3         6         7         4         4         2         4         4         2         10        3         
VardasNr5923        PavardeNr5923       3         2         5         5         10        6         6         6         10        7         4         9         6         1         3         4         10        5         
VardasNr5924        PavardeNr5924       4         8         10        1         10        6         8         10        5         3         3         2         6         8         3         8         10        7         
VardasNr5925        PavardeNr5925       7         9         1         6         2         5         1         4         4         10        7         3         9         4         5         9         7         3         
VardasNr5926        PavardeNr5926       10        7         4         5         10        6         5         5         8         10        3         2         9         7         4         3         6         2         
VardasNr5927        PavardeNr5927       7         5         8         7         7         10        3         6         8         7         9         3         1         6         7         7         9         9         
VardasNr5928        PavardeNr5928       2         1         7         7         3         4         10        9         10        8         1         6         2         3         6         1         2         3         
VardasNr5929        PavardeNr5929       5         5         9         7         6         6         4         1         1         2         7         10        2         2         7         4         6         2         
VardasNr5930        PavardeNr5930       9         3         1         4         3         4         2         3         4         3         3         8         10        6         9         3         2         9         
VardasNr5931        PavardeNr5931       10        8         6         2         5         9         4         9         6         5         9         8         2         8         6         8         8         9         
VardasNr5932        PavardeNr5932       7         6         3         7         8         3         1         4         1         4         4         1         4         4         5         5         2         9         
VardasNr5933        PavardeNr5933       1         3         5         2         1         10        3         5         7         4         1         3         3         1         6         8         10        10        
VardasNr5934        PavardeNr5934       8         6         7         6         9         8         2         2         9         3         3         6         4         7         7         8         2         10        
VardasNr5935        PavardeNr5935       3         4         7         1         8         10        4         4         7         2         6         9         7         4         8         6         5         8         
VardasNr5936        PavardeNr5936       8         1         10        8         2         3         10        3         4         3         1         2         2         7         4         2         5         1         
VardasNr5937        PavardeNr5937       3         8         5         3         7         4         1         8         10        4         7         6         5         1         1         7         4         8         
VardasNr5938        PavardeNr5938       6         4         8         2         7         7         9         1         3         6         4         10        2         3         4         7         2         5         
VardasNr5939        PavardeNr5939       8         5         10        4         1         5         1         4         4         7         1         2         3         2         9         4         9         7         
VardasNr5940        PavardeNr5940       9         10        4         6         9         2         1         2         7         2         3         2         6         4         3         7         8         4         
VardasNr5941        PavardeNr5941       4         7         4         1         5         3         7         9         4         6         3         2         3         4         9         1         7         7         
VardasNr5942        PavardeNr5942       7         9         5         6         6         7         9         10        8         8         2         8         3         5         10        1         3         9         
VardasNr5943        PavardeNr5943       5         7         7         8         9         4         5         2         6         1         7         9         9         7         3         6         6         6         
VardasNr5944        PavardeNr5944       5         5         2         4         9         9         5         10        1         2         4         3         6         3         8         4         9         4         
VardasNr5945        PavardeNr5945       9         3         1         7         4         10        3         3         4         10        6         5         6         5         6         7         3         2         
VardasNr5946        PavardeNr5946       6         8         7         4         2         1         5         9         8         10        9         4         9         5         2         7         5         4         
VardasNr5947        PavardeNr5947       9         10        8         8         9         5         2         9         10        1         9         1         9         6         6         1         3         10        
VardasNr5948        PavardeNr5948       9         5         7         1         1         2         9         4         1         9         9         1         7         6         4         9         4         9         
VardasNr5949        PavardeNr5949       4         4         9         4         9         8         10        8         9         9         8         7         3         1         8         7         6         7         
VardasNr5950        PavardeNr5950       1         6         6         10        1         7         1         2         10        2         4         7         7         3         1         2         6         9         
VardasNr5951        PavardeNr5951       2         6         3         10        9         5         3         4         2         6         9         10        9         3         3         8         9         2         
VardasNr5952        PavardeNr5952       5         8         10        6         5         7         8         2         2         1         10        5         1         3         1         5         8         9         
VardasNr5953        PavardeNr5953       9         9         6         5         1         10        7         1         7         9         1         9         8         2         10        2         9         4         
VardasNr5954        PavardeNr5954       6         10        6         10        9         3         4         6         2         9         8         9         3         4         3         10        5         7         
VardasNr5955        PavardeNr5955       10        2         7         5         9         4         10        3         2         2         3         3         5         3         3         10        6         3         
VardasNr5956        PavardeNr5956       2         2         9         7         8         6         10        10        10        8         1         5         8         1         2         2         3         9         
VardasNr5957        PavardeNr5957       3         2         10        5         4         6         10        10        2         2         4         7         3         3         10        5         5         9         
VardasNr5958        PavardeNr5958       9         6         6         2         4         4         5         7         4         4         6         10        1         10        3         2         1         8         
VardasNr5959        PavardeNr5959       10        2         9         7         7         8         4         6         6         8         6         9         1         2         5         2         9         5         
VardasNr5960        PavardeNr5960       10        5         1         6         8         7         2         4         4         7         9         3         4         5         8         7         7         1         
VardasNr5961        PavardeNr5961       9         1         6         6         9         7         4         7         6         10        7         8         3         6         8         3         3         9         
VardasNr5962        PavardeNr5962       7         9         7         5         8         8         1         2         7         1         7         5         2         1         8         4         6         10        
VardasNr5963        PavardeNr5963       9         10        8         4         4         9         1         7         5         1         4         6         7         6         9         2         4         9         
VardasNr5964        PavardeNr5964       9         2         9         4         1         3         4         4         4         4         1         1         4         5         3         1         9         9         
VardasNr5965        PavardeNr5965       10        3         2         7         6         8         3         7         2         8         2         5         9         8         5         10        3         1         
VardasNr5966        PavardeNr5966       8         4         6         10        10        7         3         6         2         4         1         2         3         8         1         3         10        9         
VardasNr5967        PavardeNr5967       8         3         7         2         9         3         2         4         8         6         7         3         9         4         8         4         2         3         
VardasNr5968        PavardeNr5968       10        8         8         7         6         10        10        9         2         6         5         4         3         2         7         6         4         2         
VardasNr5969        PavardeNr5969       5         10        1         1         10        9         6         2         1         4         2         10        10        1         2         10        4         2         
VardasNr5970        PavardeNr5970       9         5         5         10        2         7         2         2         8         4         6         9         8         10        10        2         7         7         
VardasNr5971        PavardeNr5971       2         7         8         1         8         9         2         9         2         6         5         3         4         9         10        8         4         1         
VardasNr5972        PavardeNr5972       4         9         5         8         1         10        10        2         10        6         10        1         4         1         9         7         3         1         
VardasNr5973        PavardeNr5973       7         2         10        6         3         4         3         8         9         10        1         1         2         5         10        7         7         6         
VardasNr5974        PavardeNr5974       9         8         9         4         5         10        6         10        7         7         7         1         3         8         7         3         10        10        
VardasNr5975        PavardeNr5975       4         8         9         1         6         1         2         2         6         2         8         10        5         10        2         3         9         5         
VardasNr5976        PavardeNr5976       3         1         3         7         5         9         2         8         9         5         6         10        1         4         5         4         1         5         
VardasNr5977        PavardeNr5977       5         3         4         10        10        5         6         4         6         2         4         9         6         8         10        7         9         10        
VardasNr5978        PavardeNr5978       4         8         6         7         8         8         10        3         10        3         1         1         5         9         6         4         1         4         
VardasNr5979        PavardeNr5979       7         6         10        3         10        6         6         9         10        7         6         7         7         10        8         6         5         10        
VardasNr5980        PavardeNr5980       3         4         8         4         7         6         3         8         4         4         9         9         5         6         9         8         9         2         
VardasNr5981        PavardeNr5981       5         6         4         6         10        5         8         4         6         3         8         6         3         7         5         8         7         8         
VardasNr5982        PavardeNr5982       8         9         10        7         8         7         6         1         5         4         5         3         6         3         4         3         10        9         
VardasNr5983        PavardeNr5983       9         3         7         6         10        7         10        5         10        10        1         7         7         9         5         1         10        2         
VardasNr5984        PavardeNr5984       10        8         3         10        7         1         4         4         8         9         6         1         9         1         3         7         9         7         
VardasNr5985        PavardeNr5985       2         10        2         4         2         9         4         4         1         6         3         2         5         4         2         8         8         4         
VardasNr5986        PavardeNr5986       2         3         8         9         3         9         10        3         5         10        4         6         10        9         7         6         1         10        
VardasNr5987        PavardeNr5987       9         9         9         3         8         6         7         10        4         10        6         8         1         4         6         9         10        3         
VardasNr5988        PavardeNr5988       9         6         4         10        2         5         2         4         4         4         9         4         9         10        2         5         3         3         
VardasNr5989        PavardeNr5989       5         1         1         6         4         10        5         7         10        7         9         4         10        6         1         7         6         6         
VardasNr5990        PavardeNr5990       7         4         2         3         5         7         9         8         10        1         4         1         8         10        2         9         1         3         
VardasNr5991        PavardeNr5991       4         1         1         4         6         9         8         7         9         1         3         1         6         5         2         2         2         10        
VardasNr5992        PavardeNr5992       10        5         4         3         7         7         4         6         2         2         7         6         3         3         10        3         8         8         
VardasNr5993        PavardeNr5993       4         1         7         7         8         8         7         7         8         4         6         7         10        7         4         10        8         7         
VardasNr5994        PavardeNr5994       8         3         10        4         10        10        9         6         8         5         8         8         1         2         3         9         8         3         
VardasNr5995        PavardeNr5995       5         1         4         10        10        10        3         2         3         6         5         7         9         9         10        2         5         9         
VardasNr5996        PavardeNr5996       10        9         3         6         10        5         9         10        2         5         1         1         8         4         9         4         4         4         
VardasNr5997        PavardeNr5997       5         5         9         2         4         3         7         10        8         7         9         5         5         7         6         10        8         1         
VardasNr5998        PavardeNr5998       7         10        4         7         5         10        2         1         3         5         1         7         6         6         6         6         1         1         
VardasNr5999        PavardeNr5999       5         2         9         9         10        5         1         7         8         8         7         6         6         3         2         8         8         1         
VardasNr6000        PavardeNr6000       5         5         3         3         7         4         7         5         8         8         8         1         7         8         2         6         9         6         
VardasNr6001        PavardeNr6001       10        4         7         3         4         9         9         7         6         3         1         2         2         5         8         5         1         5         
VardasNr6002        PavardeNr6002       5         6         4         1         2         6         3         10        2         3         6         7         1         2         5         10        9         8         
VardasNr6003        PavardeNr6003       10        10        2         5         3         5         7         3         2         5         7         1         9         6         4         3         1         5         
VardasNr6004        PavardeNr6004       5         8         1         1         6         1         9         10        6         3         3         8         9         7         10        4         9         6         
VardasNr6005        PavardeNr6005       9         9         4         3         4         6         2         6         9         4         4         9         4         2         3         6         7         8         
VardasNr6006        PavardeNr6006       5         8         5         5         2         8         4         6         6         1         4         6         5         9         8         5         4         4         
VardasNr6007        PavardeNr6007       7         9         1         7         10        8         5         7         5         4         2         1         2         7         6         3         4         9         
VardasNr6008        PavardeNr6008       4         7         5         5         5         4         5         2         2         8         7         6         8         1         6         8         9         7         
VardasNr6009        PavardeNr6009       3         5         1         6         5         9         5         9         3         2         1         3         5         2         6         3         3         5         
VardasNr6010        PavardeNr6010       6         1         8         8         4         5         5         6         6         6         7         3         6         1         8         3         4         2         
VardasNr6011        PavardeNr6011       7         3         3         1         7         7         6         5         1         8         10        3         4         6         1         9         1         10        
VardasNr6012        PavardeNr6012       7         2         6         8         5         6         1         6         1         8         2         6         5         6         2         8         10        4         
VardasNr6013        PavardeNr6013       6         7         10        2         10        9         5         10        7         6         8         3         5         4         3         2         3         2         
VardasNr6014        PavardeNr6014       5         8         9         1         10        4         3         4         9         4         1         2         6         10        2         6         3         2         
VardasNr6015        PavardeNr6015       10        2         1         7         3         9         3         2         1         7         7         7         5         7         4         3         9         7         
VardasNr6016        PavardeNr6016       3         6         3         1         6         10        10        2         3         1         6         2         5         6         5         1         6         1         
VardasNr6017        PavardeNr6017       10        2         5         2         9         4         4         4         3         9         3         6         5         5         5         2         7         4         
VardasNr6018        PavardeNr6018       6         9         5         8         5         6         3         1         5         8         6         5         3         7         5         3         5         2         
VardasNr6019        PavardeNr6019       5         9         2         1         1         4         2         8         6         1         4         6         9         7         6         10        1         7         
VardasNr6020        PavardeNr6020       5         10        1         5         5         7         5         7         9         1         8         3         7         10        4         1         5         7         
VardasNr6021        PavardeNr6021       5         10        1         10        8         2         10        1         9         2         6         4         3         6         4         5         9         4         
VardasNr6022        PavardeNr6022       4         9         8         3         3         8         2         2         7         9         1         4         8         5         4         7         1         5         
VardasNr6023        PavardeNr6023       3         2         2         6         3         6         8         10        7         3         10        3         2         2         4         7         10        9         
VardasNr6024        PavardeNr6024       5         10        4         9         9         7         1         10        9         2         9         10        5         9         7         3         6         5         
VardasNr6025        PavardeNr6025       2         3         7         6         6         2         3         5         4         6         5         6         8         9         5         5         4         2         
VardasNr6026        PavardeNr6026       8         1         5         1         2         5         7         7         1         3         7         1         4         5         7         7         4         6         
VardasNr6027        PavardeNr6027       5         9         1         9         3         6         10        10        10        9         9         8         3         3         9         6         7         9         
VardasNr6028        PavardeNr6028       8         9         4         3         3         2         1         3         5         8         6         10        4         1         4         4         3         4         
VardasNr6029        PavardeNr6029       6         5         9         8         9         6         7         6         6         8         8         7         3         7         1         3         3         4         
VardasNr6030        PavardeNr6030       3         3         4         7         7         7         8         9         4         1         6         6         10        1         10        9         5         4         
VardasNr6031        PavardeNr6031       5         1         2         3         1         6         1         1         4         1         8         1         4         1         3         3         3         10        
VardasNr6032        PavardeNr6032       1         6         2         4         7         5         7         5         4         1         10        3         2         3         1         2         6         3         
VardasNr6033        PavardeNr6033       8         9         6         10        7         8         3         6         8         10        4         3         5         10        1         4         4         1         
VardasNr6034        PavardeNr6034       4         10        6         9         3         3         9         5         2         3         4         4         3         1         1         10        6         7         
VardasNr6035        PavardeNr6035       10        9         6         1         6         4         1         2         10        4         1         10        1         7         4         3         10        5         
VardasNr6036        PavardeNr6036       9         3         3         2         6         3         6         1         7         7         4         2         1         4         10        4         2         7         
VardasNr6037        PavardeNr6037       8         3         6         9         6         2         10        8         1         6         4         3         7         9         1         4         8         6         
VardasNr6038        PavardeNr6038       10        8         6         5         9         4         10        3         7         10        6         3         5         7         1         10        3         7         
VardasNr6039        PavardeNr6039       9         4         2         1         3         2         2         2         10        1         7         6         1         8         6         7         1         6         
VardasNr6040        PavardeNr6040       7         9         4         9         1         9         2         10        9         8         9         3         6         8         7         5         3         9         
VardasNr6041        PavardeNr6041       4         3         4         7         2         5         9         7         5         4         9         3         9         10        3         5         7         10        
VardasNr6042        PavardeNr6042       2         7         5         3         7         3         9         7         8         1         2         6         4         7         8         1         2         10        
VardasNr6043        PavardeNr6043       3         6         8         2         4         7         3         4         9         1         10        9         2         4         8         10        10        7         
VardasNr6044        PavardeNr6044       7         7         6         2         6         3         3         7         8         3         6         1         7         4         7         6         9         5         
VardasNr6045        PavardeNr6045       3         5         2         7         6         6         7         10        5         8         7         9         1         9         1         9         2         7         
VardasNr6046        PavardeNr6046       4         3         7         1         5         8         9         6         5         1         6         9         2         4         5         6         3         2         
VardasNr6047        PavardeNr6047       10        3         8         1         10        1         8         8         1         1         6         5         10        5         6         10        5         2         
VardasNr6048        PavardeNr6048       3         9         7         8         10        10        5         8         5         9         8         10        10        4         2         3         7         2         
VardasNr6049        PavardeNr6049       9         1         9         1         9         4         8         8         9         7         8         10        1         6         10        7         8         10        
VardasNr6050        PavardeNr6050       7         2         2         5         4         5         1         7         8         1         8         3         1         2         9         5         2         5         
VardasNr6051        PavardeNr6051       3         10        10        7         3         8         6         6         2         7         6         3         3         8         7         6         9         6         
VardasNr6052        PavardeNr6052       9         10        1         2         3         4         9         3         8         1         3         9         5         2         5         3         2         1         
VardasNr6053        PavardeNr6053       9         8         5         4         6         9         6         8         1         8         10        9         9         1         8         7         8         8         
VardasNr6054        PavardeNr6054       3         10        2         1         10        7         2         5         9         5         2         1         10        5         10        10        4         7         
VardasNr6055        PavardeNr6055       8         6         3         3         9         6         6         7         3         2         5         6         7         3         3         3         5         8         
VardasNr6056        PavardeNr6056       9         3         6         5         3         5         1         10        9         3         4         8         5         7         1         6         5         4         
VardasNr6057        PavardeNr6057       6         6         4         9         5         6         2         4         7         2         9         10        1         5         8         2         1         9         
VardasNr6058        PavardeNr6058       8         1         7         1         9         8         10        8         10        5         3         9         10        4         6         8         8         8         
VardasNr6059        PavardeNr6059       1         10        7         8         10        9         10        7         1         10        8         4         4         8         5         4         8         4         
VardasNr6060        PavardeNr6060       5         8         4         6         4         4         7         1         4         4         7         4         6         7         4         10        4         7         
VardasNr6061        PavardeNr6061       6         10        4         1         7         6         5         3         8         10        7         4         4         10        7         6         9         4         
VardasNr6062        PavardeNr6062       5         1         5         7         10        5         6         7         4         3         5         7         6         6         6         9         5         2         
VardasNr6063        PavardeNr6063       3         1         7         2         1         8         5         6         5         6         1         4         8         2         1         5         4         7         
VardasNr6064        PavardeNr6064       5         10        8         7         7         3         1         5         2         3         9         10        6         9         8         3         4         7         
VardasNr6065        PavardeNr6065       4         1         8         7         1         4         8         5         9         10        9         6         5         9         5         4         5         10        
VardasNr6066        PavardeNr6066       4         2         3         2         8         5         6         1         1         9         3         4         3         5         4         9         1         4         
VardasNr6067        PavardeNr6067       8         4         6         10        7         4         9         7         6         5         8         8         10        4         1         7         7         6         
VardasNr6068        PavardeNr6068       10        10        9         5         2         7         3         4         3         9         4         4         6         1         8         2         3         8         
VardasNr6069        PavardeNr6069       2         10        10        9         6         7         8         8         6         1         8         1         1         3         3         7         7         4         
VardasNr6070        PavardeNr6070       8         10        1         9         4         4         4         2         7         4         5         10        10        8         3         3         10        1         
VardasNr6071        PavardeNr6071       10        3         2         1         3         1         1         2         4         9         7         2         7         5         5         2         9         1         
VardasNr6072        PavardeNr6072       6         5         6         5         5         3         7         9         5         10        1         3         9         2         8         3         1         9         
VardasNr6073        PavardeNr6073       4         2         7         5         1         3         8         10        9         3         7         6         5         1         1         3         9         6         
VardasNr6074        PavardeNr6074       6         2         9         2         10        9         4         8         8         1         7         8         10        4         8         7         7         9         
VardasNr6075        PavardeNr6075       1         9         5         4         2         8         9         4         8         3         4         1         6         6         10        10        10        5         
VardasNr6076        PavardeNr6076       4         3         9         2         7         5         1         6         6         3         7         2         9         7         2         4         4         8         
VardasNr6077        PavardeNr6077       10        8         7         9         5         8         1         7         10        3         6         1         5         5         9         6         9         7         
VardasNr6078        PavardeNr6078       4         9         9         1         10        3         8         8         5         6         8         7         3         5         5         8         6         3         
VardasNr6079        PavardeNr6079       2         9         10        2         5         2         3         10        4         8         4         5         8         7         2         8         2         9         
VardasNr6080        PavardeNr6080       9         2         5         3         1         9         1         2         3         7         10        5         2         1         8         8         2         7         
VardasNr6081        PavardeNr6081       6         3         1         7         8         4         3         9         3         10        10        10        6         8         10        2         1         10        
VardasNr6082        PavardeNr6082       7         9         1         5         4         3         3         1         1         8         6         9         1         7         3         6         1         10        
VardasNr6083        PavardeNr6083       5         5         6         6         3         3         2         4         6         10        6         2         5         3         6         10        6         2         
VardasNr6084        PavardeNr6084       1         3         8         7         10        8         6         6         6         9         9         9         2         4         1         3         4         2         
VardasNr6085        PavardeNr6085       2         6         8         5         7         7         5         6         9         6         5         7         8         1         6         6         1         3         
VardasNr6086        PavardeNr6086       7         8         9         1         3         8         5         2         5         6         10        3         1         2         5         9         2         2         
VardasNr6087        PavardeNr6087       7         1         7         5         6         4         8         6         7         3         9         1         3         7         5         4         8         1         
VardasNr6088        PavardeNr6088       10        3         5         2         2         10        3         9         10        3         8         6         4         10        4         7         2         9         
VardasNr6089        PavardeNr6089       2         7         5         3         9         10        3         1         5         1         8         3         3         6         2         3         2         1         
VardasNr6090        PavardeNr6090       2         10        10        10        3         7         6         9         7         2         8         3         9         4         8         2         5         7         
VardasNr6091        PavardeNr6091       3         6         2         5         4         5         6         7         2         10        3         5         4         4         9         7         5         5         
VardasNr6092        PavardeNr6092       2         7         2         4         4         3         7         6         1         5         3         4         4         5         10        1         2         6         
VardasNr6093        PavardeNr6093       4         7         6         1         8         5         4         9         6         2         5         3         7         2         2         6         10        1         
VardasNr6094        PavardeNr6094       9         6         9         7         8         7         5         1         2         3         1         7         2         1         9         7         6         6         
VardasNr6095        PavardeNr6095       8         7         3         8         7         3         9         1         5         9         9         3         3         6         6         4         10        4         
VardasNr6096        PavardeNr6096       2         2         1         1         2         7         6         8         5         10        2         7         6         3         1         4         10        1         
VardasNr6097        PavardeNr6097       9         3         9         10        3         2         3         1         9         2         7         5         8         5         5         2         10        8         
VardasNr6098        PavardeNr6098       6         2         3         8         4         6         8         6         5         5         6         4         2         7         5         2         1         7         
VardasNr6099        PavardeNr6099       6         1         9         6         9         7         7         10        7         9         8         10        8         10        5         8         3         1         
VardasNr6100        PavardeNr6100       6         10        7         10        1         8         7         5         1         5         4         10        6         3         3         3         5         6         
VardasNr6101        PavardeNr6101       8         8         1         8         3         4         5         6         10        5         7         2         3         5         8         3         2         3         
VardasNr6102        PavardeNr6102       4         3         4         1         3         2         6         1         10        1         4         3         3         2         6         8         5         8         
VardasNr6103        PavardeNr6103       4         7         4         9         3         5         2         2         9         10        3         2         4         9         5         6         4         7         
VardasNr6104        PavardeNr6104       5         5         2         7         3         10        5         3         10        8         6         5         1         7         2         8         6         8         
VardasNr6105        PavardeNr6105       3         9         5         2         4         9         10        8         5         2         4         6         2         3         10        10        9         3         
VardasNr6106        PavardeNr6106       2         6         1         4         9         9         9         7         7         9         10        8         6         10        1         5         2         10        
VardasNr6107        PavardeNr6107       9         8         6         6         2         8         10        5         10        10        7         10        5         7         1         2         5         10        
VardasNr6108        PavardeNr6108       10        10        9         5         9         3         5         7         4         10        6         3         5         2         1         7         1         6         
VardasNr6109        PavardeNr6109       10        7         7         10        9         3         1         2         4         9         3         9         8         5         9         4         1         4         
VardasNr6110        PavardeNr6110       10        9         6         1         8         10        6         5         1         1         10        8         5         1         3         6         1         6         
VardasNr6111        PavardeNr6111       10        3         7         3         7         3         6         4         5         5         10        4         8         6         9         2         5         2         
VardasNr6112        PavardeNr6112       9         7         9         5         4         10        6         1         8         6         4         9         1         5         5         9         4         2         
VardasNr6113        PavardeNr6113       1         7         4         4         4         6         1         1         2         8         2         6         8         10        7         9         6         5         
VardasNr6114        PavardeNr6114       8         6         6         9         3         2         10        5         1         8         3         5         7         4         9         1         2         2         
VardasNr6115        PavardeNr6115       7         1         8         4         5         2         7         2         6         4         8         7         10        5         2         5         5         7         
VardasNr6116        PavardeNr6116       9         8         9         2         10        5         1         6         7         2         9         1         8         7         9         6         3         9         
VardasNr6117        PavardeNr6117       10        10        9         9         4         10        6         7         8         1         10        10        6         3         10        9         3         5         
VardasNr6118        PavardeNr6118       6         7         1         6         8         3         1         2         4         6         3         8         1         7         6         6         8         8         
